Pardavėjas,Produktas,Svoris,Kaina
Chaichai,Actekų pipirai,40,3.50
Chaichai,Auksiniam pienui,40,3.50
Chaichai,Avienai ir jautienai,40,3.00
Chaichai,BBQ grill,40,3.00
Chaichai,Bruschetta,40,2.50
Chaichai,Bulvėms,40,2.50
Chaichai,Bulvytėms Fri,40,2.50
Chaichai,Ceilono cinamonas (lazdelės),40,2.50
Chaichai,Ceilono cinamonas (maltas),40,2.50
Chaichai,China Wok,40,2.50
Chaichai,Chmeli Suneli,40,2.50
Chaichai,Ciberžolės šaknis - Kurkuma (malta),40,2.50
Chaichai,Čili paprikėlės „Bird's eye“,20,2.50
Chaichai,Čili pipirai „Chipotle“ (malti),20,2.50
Chaichai,Citrininė druska su ciberžole,20,4.50
Chaichai,Crispy onion burger mix,20,4.50
Chaichai,Garam masala,20,2.50
Chaichai,Grietinės padažui,20,2.50
Chaichai,Gvakamolės padažui,20,2.50
Chaichai,Harissa,20,2.50
Chaichai,Humusui,20,2.50
Chaichai,Imbieras (maltas),20,2.50
Chaichai,India,20,2.50
Chaichai,Italy,20,2.50
Chaichai,Juodieji pipirai,50,3.00
Chaichai,Juodieji pipirai „Tellicherry“,50,3.00
Chaichai,Juodoji Havajų lavos druska,50,3.00
Chaichai,Kajeno pipirai,50,3.00
Chaichai,Kardamono sėklos (maltos),50,3.50
Chaichai,Karštam vynui,50,3.50
Chaichai,Kaukazas,50,2.50
Chaichai,Keturi pipirai,50,2.50
Chaichai,Kuminai (malti),50,6.00
Chaichai,Levandų žiedai,50,6.00
Chaichai,Magic BBQ,50,8.00
Chaichai,Mediteranean veggie mix,50,8.00
Chaichai,Mexico,50,2.50
Chaichai,Mozzarella Tomato,50,2.50
Chaichai,Muskato riešutai (malti),50,2.50
Chaichai,Nasi Goreng,50,2.50
Chaichai,Pesto a la Calabrese,50,4.50
Chaichai,Pipirinis mėsai ir steikui,50,4.50
Chaichai,"Prieskonių rinkinys ""Griliaus šefui""",50,2.50
Chaichai,"Prieskonių rinkinys ""Kvietimas asorti""",50,2.50
Chaichai,Prima Vera,50,2.50
Chaichai,Provanso žolelės,50,2.50
Chaichai,Pyragams ir meduoliams,50,3.00
Chaichai,Rinkinys „Virtuvės šefui“,50,3.00
Chaichai,Rūkyta druska,50,2.50
Chaichai,Rūkyta paprika,50,2.50
Chaichai,Šafranas,50,2.50
Chaichai,Saldžioji paprika (malta),50,2.50
Chaichai,Saldžių svogūnų padažui,50,2.50
Chaichai,Salotoms,50,2.50
Chaichai,Salsa padažui,50,2.50
Chaichai,Taco,50,2.50
Chaichai,Tailando karis,50,2.50
Chaichai,Tropical Mango,50,2.50
Chaichai,Troškiniams,50,2.50
Chaichai,Tzatziki,50,2.50
Chaichai,Vanilinis cukrus,50,4.00
Chaichai,Waikiki padažui,50,4.00
Chaichai,Žolelės mėsai,50,3.00
Chaichai,Žvėrienai,50,3.00
