Pardavėjas,Produktas,Svoris,Kaina
Sauda,Aštrios raudonos paprikos 40g,40,0.48
Sauda,Aštrios raudonos paprikos maltos (ASTA40) 1kg,1000,4.30
Sauda,Baltieji pipirai malti,1000,11.07
Sauda,Bazilikai 15g,15,0.48
Sauda,Česnakai (smulk. 2x4),1000,4.48
Sauda,Česnakiniai pipirai,1000,2.25
Sauda,Česnakų granulės,1000,1.20
Sauda,Česnakų milteliai 1kg,1000,3.63
Sauda,Ciberžolės maltos,1000,0.99
Sauda,Čili 40g,40,0.48
Sauda,Citrininiai pipirai,1000,5.15
Sauda,Daržovių mišinys (stambus),1000,2.54
Sauda,Garstyčių milteliai,1000,3.09
Sauda,Garstyčių sėklos,1000,3.45
Sauda,Grūstieji juodieji pipirai 30g,30,0.73
Sauda,Gvazdikėliai 20g,20,0.99
Sauda,Gvazdikėliai malti 1kg,1000,15.56
Sauda,Imbierai malti,1000,4.36
Sauda,Ispaninis šalavijas(chia sėklos) 100g,100,1.20
Sauda,Juodieji pipirai,1000,1.60
Sauda,Juodieji pipirai malti,1000,1.60
Sauda,Juodieji pipirai smulkinti (smulkiai) 1kg,1000,8.41
Sauda,Juodieji pipirai smulkinti (stambiai) 1kg,1000,8.41
Sauda,Kajeno paprikos (maltos),1000,4.26
Sauda,Kalendrų sėklos,1000,2.36
Sauda,Kalendrų sėklos maltos,1000,2.48
Sauda,Kanapių sėklos 90g,90,0.79
Sauda,Kardamonai malti,1000,25.63
Sauda,Kmynų sėklos,1000,0.86
Sauda,Kmynų sėklos maltos 1kg,1000,2.98
Sauda,Krapai,1000,0.79
Sauda,Krapų viršūnėlės 500g,500,2.12
Sauda,"Krapų viršūnėlės maltos (Egiptas, I rūšis) 1kg",1000,3.99
Sauda,Kvapieji pipirai,1000,2€  su PVM
Sauda,Kvapieji pipirai malti,1000,2€  su PVM
Sauda,Kvapieji pipirai smulkinti stambiai 1kg,1000,12.22
Sauda,Laurų lapai,1000,0.59
Sauda,Laurų lapai malti,1000,0.90
Sauda,Laurų lapai smulkinti 1kg,1000,4.26
Sauda,Linų sėmenys,1000,0.99
Sauda,Linų sėmenys malti 60g,60,0.48
Sauda,Mairūnas,1000,1.91
Sauda,Mėsą minkštinanti druska 70g,70,0.80
Sauda,Morkos (smulk. 10x10) 1kg,1000,4.42
Sauda,Morkos (smulk. 1x3) 1kg,1000,4.30
Sauda,Muskatų riešutai malti 1kg,1000,9.74
Sauda,Ožragių sėklos maltos 1kg,1000,3.93
Sauda,Pankolio sėklos 40g,40,0.54
Sauda,Penkių pipirų mišinys,1000,2.66
Sauda,Petražolės,1000,0.85
Sauda,Petražolių šakelės (Egiptas) 500g,500,1.75
Sauda,Petražolių šakelės (Lenkija),1000,7.38
Sauda,Petražolių šakelės kapotos (Lenkija) 1kg,1000,9.50
Sauda,Provanso žolelės (priesk. miš.) 20g,20,0.99
Sauda,Raudonėliai,1000,3.75
Sauda,Raudonieji pipirai 100g,100,3.27
Sauda,"Saldžios raudonos paprikos (maltos, ASTA100) 1kg",1000,4.90
Sauda,"Saldžios raudonos paprikos (maltos, ASTA150) 1kg",1000,5.51
Sauda,"Saldžios raudonos paprikos (maltos, ASTA60) 1kg",1000,4.30
Sauda,Saldžios raudonos paprikos (smulkintos 10x10) 1kg,1000,9.72
Sauda,Saldžios raudonos paprikos 40g (maltos),40,0.48
Sauda,Saldžios raudonos paprikos rūkytos 60g,60,1.19
Sauda,Sezamo sėklos,1000,4.17
Sauda,Svogūnai (griežinėliais) 1kg,1000,3.75
Sauda,Svogūnai (kepti) 1kg,1000,3.39
Sauda,Svogūnų granulės (1x3) 1kg,1000,4.11
Sauda,Svogūnų laiškai 1kg,1000,9.26
Sauda,Svogūnų laiškai malti 1kg,1000,9.35
Sauda,Svogūnų milteliai 1kg,1000,3.21
