Pardavėjas,Produktas,Svoris,Kaina
Spaisvilė,Aitrioji paprika džiovinta,100,1.00
Spaisvilė,Alyvuogės juodosios,100,4.90
Spaisvilė,Bazilikas,100,0.76
Spaisvilė,Aitrioji paprika,100,0.85
Spaisvilė,Angelo plaukai,100,9.25
Spaisvilė,Ceilono cinamono,100,5.50
Spaisvilė,Citrinžolė,100,1.30
Spaisvilė,Levandų žiedai,100,6.60
Spaisvilė,Svogūnų granulės,100,0.79
Spaisvilė,Alyvuogės juodosios,100,7.15
Spaisvilė,Svogūnų miltai,100,0.79
Spaisvilė,Vanilės,2vnt,4.20
Spaisvilė,Anyžius,100,3.90
Spaisvilė,Gelsvės lapeliai,100,1.20
Spaisvilė,Gvazdikėliai,100,2.20
Spaisvilė,Imbieras,100,0.98
Spaisvilė,Burokėlių,100,1.90
Spaisvilė,Ceilono cinamono,100,5.30
Spaisvilė,Ceilono cinamonas,100,1.50
Spaisvilė,Ciberžolė,100,0.74
Spaisvilė,Kajeno paprikos,100,1.13
Spaisvilė,Cinamonas,100,0.87
Spaisvilė,Cinamono,100,1.40
Spaisvilė,Česnakų granulės,100,0.85
Spaisvilė,Česnakų laiškai,100,1.57
Spaisvilė,Čili vaisiai,100,2.64
Spaisvilė,Čiobrelis,100,1.32
Spaisvilė,Raudona saldi paprika,100,1.35
Spaisvilė,Raudona saldi paprika,100,1.68
Spaisvilė,Žalia paprika,100,1.10
Spaisvilė,Raudonėlis,100,1.10
Spaisvilė,Lauro lapai,100,0.72
Spaisvilė,Šafranas,1,5.85
Spaisvilė,Svogūnų laiškai,100,1.57
Spaisvilė,Krapų viršūnėlės,100,1.87
Spaisvilė,Morkos,100,0.66
Spaisvilė,Morkų,100,0.66
Spaisvilė,Petražolės,100,1.35
Spaisvilė,Česnakų milteliai,100,0.85
Spaisvilė,Meškinis česnakas,100,5.60
Spaisvilė,Mėtų lapeliai,100,2.27
Spaisvilė,Pastarnokų šaknys,100,1.05
Spaisvilė,Pomidorų,100,1.45
Spaisvilė,Svogūnų griežinėliai,100,0.79
Spaisvilė,Pomidorų drožlės,100,1.64
Spaisvilė,Pomidorų granulės,100,1.64
Spaisvilė,Svogūnų granulės,100,0.79
Spaisvilė,Gvazdikėliai,100,2.20
Spaisvilė,Ramunėlių žiedų,100,1.48
Spaisvilė,Saldžioji raudonoji paprika,100,1.31
Spaisvilė,Sidabražolė,100,2.36
Spaisvilė,Salierų granulės,100,1.50
Spaisvilė,Šalavijo lapeliai,100,1.43
Spaisvilė,Špinatų,100,1.60
Spaisvilė,Kalendros lapeliai,100,1.49
Spaisvilė,Kardamonas,100,4.80
Spaisvilė,Kardamono,100,5.50
Spaisvilė,Kepinti svogūnai,100,0.76
Spaisvilė,Lauro lapai,100,0.72
Spaisvilė,Mairūnai,100,0.91
Spaisvilė,Peletrūnai,100,3.78
Spaisvilė,Pelyno lapeliai,100,1.49
Spaisvilė,Porai ,100,1.68
Spaisvilė,Rozmarinai,100,1.04
Spaisvilė,Rūkyta paprika saldi,100,4.15
Spaisvilė,Saulėje džiovinti pomidorai,100,0.93
Spaisvilė,Saulėje džiovinti pomidorai,100,0.93
Spaisvilė,Saulėje džiovinti pomidorai,100,0.93
Spaisvilė,Lauro lapai,100,0.72
Spaisvilė,Saulėje džiovinti pomidorai,100,0.93
Spaisvilė,Tonka,100,16.04
Spaisvilė,Kiaulienai,100,1.00
Spaisvilė,Adžika,100,1.44
Spaisvilė,Amerikietiškiems šonkauliukams,100,1.49
Spaisvilė,Meksikietiškas su česnakais,100,1.32
Spaisvilė,"""Apelsininiai"" pipirai",100,1.32
Spaisvilė,Mėsos ir daržovių troškiniams,100,1.46
Spaisvilė,Aštrus česnakinis,100,1.54
Spaisvilė,"""Monrealio""",100,1.13
Spaisvilė,Nepaprastas penketukas,100,1.20
Spaisvilė,Aštrus šašlykas,100,1.13
Spaisvilė,Paukštienai be druskos,100,1.54
Spaisvilė,Paukštienai,100,1.08
Spaisvilė,Bumerangi,100,1.02
Spaisvilė,Citrininiai žuvies,100,1.56
Spaisvilė,Penkių pipirų,100,3.49
Spaisvilė,Persillade,100,1.51
Spaisvilė,Bulvių patiekalams,100,1.20
Spaisvilė,Pipirų,100,2.24
Spaisvilė,Citrinpipiriai,100,1.36
Spaisvilė,Bulvėms,100,0.91
Spaisvilė,Džiovintos daržovės sriubai,100,1.00
Spaisvilė,Keptam sūriui,100,1.05
Spaisvilė,"""Gardusis šašlykams""",100,1.00
Spaisvilė,Paukštienos marinavimui be druskos,100,1.41
Spaisvilė,Rio pepper,100,1.74
Spaisvilė,Gruziniški,100,1.63
Spaisvilė,Penkių pipirų,100,3.85
Spaisvilė,Guliašui,100,1.00
Spaisvilė,Su imbieru ir citrina,100,1.63
Spaisvilė,Gurmaniškas,100,1.25
Spaisvilė,Su skrudintu sezamu,100,1.02
Spaisvilė,Kaimiškas bulvytėms,100,0.93
Spaisvilė,Šašlykams ir kepsniams,100,1.36
Spaisvilė,"""Kanapinis""",100,1.61
Spaisvilė,Šašlykams,100,1.20
Spaisvilė,Kepsniams ant grotelių,100,1.05
Spaisvilė,Šefo,100,1.00
Spaisvilė,Kepsnių ,100,0.88
Spaisvilė,Buffalo wings,100,0.63
Spaisvilė,Keptam sūriui su česnaku,100,1.19
Spaisvilė,"""Žemaitiškas""",100,1.20
Spaisvilė,Keturių pipirų,100,2.64
Spaisvilė,Žuviai be druskos,100,1.52
Spaisvilė,Keturių pipirų,100,3.18
Spaisvilė,Žuviai su česnaku,100,1.22
Spaisvilė,Kiaulienai su kmynais be druskos,100,1.25
Spaisvilė,Žuviai,100,1.32
Spaisvilė,Kiaulienai su kmynais,100,0.85
Spaisvilė,Kiaulienos didkepsniui,100,0.91
Spaisvilė,LT kentuky,100,1.25
Spaisvilė,"""LT sakramento""",100,0.78
Spaisvilė,Kiaušinių patiekalams,100,1.19
Spaisvilė,Lašiniuočiui,100,1.42
Spaisvilė,Amerikietiškas Javos regiono,100,1.10
Spaisvilė,Avignon,100,0.73
Spaisvilė,Basic Rub,100,1.29
Spaisvilė,Bulvėms be druskos,100,1.08
Spaisvilė,Cajun,100,1.34
Spaisvilė,Chmeli Suneli,100,1.22
Spaisvilė,Citrininiai pipirai,100,1.41
Spaisvilė,Citrinų-pipirų be druskos,100,1.29
Spaisvilė,Citrinų-pipirų,100,1.08
Spaisvilė,Česnakiniai pipirai,100,1.93
Spaisvilė,Deko jautienai,100,1.52
Spaisvilė,Dorado Žuviai,100,1.59
Spaisvilė,Džiovintos daržovės su grybais,100,1.34
Spaisvilė,Ella,100,1.49
Spaisvilė,Garam Masala,100,1.56
Spaisvilė,Gaspadinės,100,0.93
Spaisvilė,Kiaulienos ir jautienos faršui,100,1.08
Spaisvilė,Grilio žuviai,100,1.00
Spaisvilė,Maltiniui,100,0.90
Spaisvilė,Jalapeno,100,1.39
Spaisvilė,Jautienai be druskos,100,1.36
Spaisvilė,Naminiam maltinukui,100,1.02
Spaisvilė,Su sezamu žuvies patiekalams,100,1.19
Spaisvilė,Zuikiui su morkomis,100,0.90
Spaisvilė,Žuvies rūkymui 2,100,1.22
Spaisvilė,Mozaika,100,1.54
Spaisvilė,Paukštienai su cinamonu,100,1.47
Spaisvilė,Pico be druskos,100,1.08
Spaisvilė,Pico,100,1.52
Spaisvilė,Plovui,100,1.13
Spaisvilė,Kalakutienos marinavimui lietuviškas,100,1.51
Spaisvilė,Karšiui,100,0.49
Spaisvilė,Kiaulienai be druskos,100,0.91
Spaisvilė,Korėjietiškų morkyčių,100,0.95
Spaisvilė,LT santa fe,100,1.19
Spaisvilė,Maltai paukštienai,100,0.93
Spaisvilė,Bulvėms su rūkyta paprika,100,1.39
Spaisvilė,Kalakuto krūtinėlės kepsniui,100,1.42
Spaisvilė,Steikui su džiovintais pomidorais be druskos,100,1.59
Spaisvilė,Steikui su žaliaisiais pipirais,100,2.51
Spaisvilė,Steikui su žolelėmis,100,1.93
Spaisvilė,Su džiovintais pomidorais ir baziliku,100,1.90
Spaisvilė,Universalus,100,0.93
Spaisvilė,Rožinis,100,1.41
Spaisvilė,Skaldytų pipirų su kanapėmis,100,3.44
Spaisvilė,Steiko pipirų,100,2.20
Spaisvilė,Sviesto skonio paukštienai,100,1.32
Spaisvilė,Šašlykams be druskos,100,1.61
Spaisvilė,Tabako,100,1.41
Spaisvilė,Turkiškas septynių prieskonių,100,1.32
Spaisvilė,Tzatziki,100,1.05
Spaisvilė,Universalus žvėrienai,100,1.30
Spaisvilė,Universalus žuviai,100,1.39
Spaisvilė,Velniukas,100,1.54
Spaisvilė,Žuviai su daržovėmis,100,1.34
Spaisvilė,Armėniškiems šašlykams,100,1.30
Spaisvilė,Avienai,100,1.61
Spaisvilė,Bruschetta Tomate,100,1.61
Spaisvilė,Bruschetta Tomate free,100,1.80
Spaisvilė,Bulvytėms,100,0.66
Spaisvilė,Chimi churi be druskos,100,1.20
Spaisvilė,Česnakinėms bulvytėms,100,0.80
Spaisvilė,Didikų,100,1.83
Spaisvilė,Džiovintų daržovių SP,100,1.29
Spaisvilė,Džiovintų daržovių su cukinija,100,1.80
Spaisvilė,Džiovintų daržovių,100,1.46
Spaisvilė,Jautienai su žolelėmis,100,1.59
Spaisvilė,Karpiui,100,1.42
Spaisvilė,Kaukazietiškas,100,1.20
Spaisvilė,Kaukazo regiono šašlykui,100,1.12
Spaisvilė,Kaukazo šašlykui,100,1.41
Spaisvilė,Kepsniui su ožrage,100,1.05
Spaisvilė,Keptam sūriui su žolelėmis,100,1.19
Spaisvilė,Keturių pipirų,100,2.64
Spaisvilė,Klasikiniam paukštienos šašlykui,100,0.98
Spaisvilė,Koldūnams be druskos,100,0.81
Spaisvilė,Lašinių sūdymui,100,1.34
Spaisvilė,LIbanietiškas aštuonių prieskonių,100,1.52
Spaisvilė,Lydekai,100,1.20
Spaisvilė,Lietuviškoms dešrelėms,100,0.85
Spaisvilė,Maltai mėsai be druskos,100,0.98
Spaisvilė,Maltai mėsai,100,0.88
Spaisvilė,Mėsos marinavimui,100,1.12
Spaisvilė,Dešrelėms su juodaisiais pipirais,100,1.19
Spaisvilė,La Provence žvėrienai be druskos,100,1.46
Spaisvilė,Paukštienos marinavimui su raugerškio uogomis,100,1.46
Spaisvilė,Tarybiniam šašlykui sausam marinavimui,100,1.41
Spaisvilė,Tarybiniam šašlykui su žolelėmis,100,0.98
Spaisvilė,Montreal,100,1.49
Spaisvilė,Montana,100,1.52
Spaisvilė,Naminis daržovių,100,0.80
Spaisvilė,Padažams ir užkepėlėms su džiovintais baravykais,100,2.30
Spaisvilė,Paukštienai kakarieku,100,0.98
Spaisvilė,Paukštienai rožinis be druskos,100,0.98
Spaisvilė,Paukštienai su dašiais,100,1.08
Spaisvilė,Paukštienai su imbieru,100,1.47
